AAL-close,AAPL-close,AAP-close,ABBV-close,ABC-close,ABT-close,ACN-close,ADBE-close,ADI-close,ADM-close,ADP-close,ADSK-close,ADS-close,AEE-close,AEP-close,AES-close,AET-close,AFL-close,AGN-close,AIG-close,AIV-close,AIZ-close,AJG-close,AKAM-close,ALB-close,ALGN-close,ALK-close,ALL-close,ALXN-close,AMAT-close
16.9,63.2542,83.88,46.05,54.12,36.92,81.44,45.08,43.99,33.94,67.34,39.38,171.77,36.25,51.43,13.86,57.44,54.44,105.73,41.42,31.11,47.54,42.45,43.91,61.25,33.12,30.82,49.26,98,14.51
16.6,62.7557,84.34,45.55,53.84,36.89,79.77,44.71,43.88,33.58,66.82,38.19,170.44,35.91,51.23,13.8,58.25,54.38,104.39,41.19,30.93,47.34,42.54,43.64,59.13,32.65,29.865,48.4,96.67,14.47
16.94,63.6457,84.59,43.99,54.85,37.06,79.49,45.69,44.21,33.6,67.39,38.53,172.54,35.97,51.17,13.83,58.35,54.94,106.49,42.13,30.93,47.81,43.09,44.32,59.88,32.4,30.35,48.25,96.2,14.79
17.02,64.2828,84.56,44.68,54.57,36.8,79.5,47.01,45,34.2,69.23,39.52,173.95,36.55,51.08,13.82,59,55.36,106.46,44.52,30.46,47.45,43.58,45.27,61.27,32.6,31.365,48.69,98.17,14.83
17,65.8156,84.91,44.59,54.4,35.85,78.82,46.49,45.82,33.88,68.685,39.6,172.66,36.05,50.46,13.83,58.69,55.61,107.2,45.48,31.09,47.92,43.89,45.06,61.55,34.42,33.075,49.1,97.07,14.81
16.98,65.5225,85.58,44.91,54.98,36.06,79.05,45.602,45.78,34.34,68.65,39.54,173.49,36.1,51.07,13.96,59.07,55.38,107.22,44.6,31.31,48.06,43.99,45.15,62.18,35.63,33.735,49.31,96.35,14.72
17.34,66.2628,85.12,43.49,55.1,36.29,80,45.32,46.08,34.4,68.56,39.98,174.34,35.77,50.12,13.9,59.35,55.91,107.29,44.35,31.36,47.87,44.35,45.29,63.53,35.91,33.665,49.69,96.6,14.85
17.38,65.2528,84.72,44.24,54.81,36.18,80.09,43.97,46.38,33.91,70,39.75,176.43,35.42,48.83,13.22,59.49,54.85,106.81,44.07,31.45,47.52,44.35,45.61,63.37,35.68,32.915,49.43,98.19,14.92
17.76,64.7099,85.43,45.01,54.84,36.17,80.48,44.02,46.79,34.06,70.03,39.75,177.19,35.52,48.82,13.31,59.1,53.95,119.86,44.18,31.89,47.38,44.35,46.7,64.15,36.87,33.075,49.39,104.14,14.97
17.72,64.9628,85,44.54,54.48,36.35,79.92,43.61,46.25,33.99,70.08,38.9,176.05,35.64,48.67,13.01,59.25,53.84,120.52,44.64,32.19,47.95,44.75,46.71,63.97,37.07,32.96,49.4,104.86,14.69
18.1,63.4085,86.12,45.35,54.96,37.05,80.55,44.04,46.34,34.06,70.81,39.42,177.23,35.87,48.87,13.13,59.39,54.56,121.68,46.08,32.73,48.64,45.2,46.9,64.86,36.28,32.735,50.36,107.86,14.79
18.81,61.2642,86.4,46.03,55.01,37.66,80.76,45.07,46.69,34.71,71.74,39.43,178.64,36.21,49.41,13.08,59.83,54.81,123.88,45.58,33,49.57,45.58,48.03,65.83,36.22,32.955,50.66,105.208,14.8
19.12,62.0825,85.42,46.21,54.4,36.83,80.61,44.56,46.5,34.16,70.98,39.78,177.36,35.92,49.05,12.86,59.53,54.32,123.61,44.91,32.94,49.3,45.55,46.93,66.27,36.85,31.975,50.16,101.82,14.66
19.01,61.8942,86.16,47.17,54.99,36.59,82.24,44.61,47.02,35,71.99,37.11,178.08,36.28,49.64,12.99,60.04,55.24,125.5,45.23,33.08,49.84,45.52,47.49,67.34,37.59,32.605,50,102.9,14.96
18.59,63.2757,86.52,46.26,54.82,37.81,82.53,44.29,46.87,34.4,71.05,36.99,179.62,36.19,49.47,12.93,59.14,55.58,127.15,44.89,33.08,50.29,45.32,47.89,66.32,37.8,29.865,49.8,100.03,14.91
17.95,62.8085,87.18,46.54,54.65,37.72,82.9,44.02,46.56,34.71,71.03,37.48,180.88,36.15,49.36,13,60.27,55.84,130.2,44.96,33.2,50.6,45.21,47.28,66.94,38.16,29.27,49.08,102.67,14.67
17.93,63.0505,85.8,46.76,54.46,37.72,82.52,43.17,45.55,34.14,70.26,36.57,179.03,35.39,48.59,12.84,59.53,55.33,130.04,44.31,32.34,49.94,44.79,46.12,66.43,37.3,28.78,48.79,100.57,14.54
18.19,63.1628,84.08,46.59,54.58,37.48,82.52,42.77,45.49,34.16,69.93,36.46,178.44,34.91,48.28,12.9,60.39,55.06,128.08,44.53,31.87,50.05,44.66,46.35,66.61,36.98,29.58,48.76,99.88,14.6
18.21,63.5928,83.39,45.44,54.44,37.76,82.22,42.43,45.37,33.88,69.85,36.08,181.63,34.53,47.71,12.66,59.31,54.95,127.23,44.69,31.61,49.71,44.48,46.04,66.44,36.7,29.315,48.73,99.17,14.5
