ADA-Close,BTC-Close,ETC-Close,ETH-Close,LINK-Close,LTC-Close,TRX-Close,XRP-Close
0.369709,9743.860352,22.757601,779.54303,0.567669,161.459,0.08734,0.884466
0.360182,9700.759766,22.398001,785.624023,0.582583,168.787994,0.08681,0.895442
0.366338,9858.150391,22.7609,816.119995,0.571535,177.761993,0.087102,0.905103
0.350021,9654.799805,25.344101,792.310974,0.538399,171.800003,0.084778,0.871424
0.335176,9373.009766,23.6369,753.724976,0.573018,164.878998,0.083086,0.832641
0.328352,9234.820313,22.466499,752.856995,0.552857,159.617004,0.083071,0.81397
0.323593,9325.179688,21.496099,752.275024,0.539512,157.054993,0.081006,0.802043
0.297089,9043.94043,19.743601,727.276978,0.526373,149.869003,0.073574,0.758237
0.260127,8441.490234,17.7251,679.585999,0.467844,137.117004,0.065933,0.684948
0.270932,8504.889648,18.149099,686.047974,0.464764,141.882004,0.068731,0.696735
0.28589,8723.94043,18.7267,733.495972,0.503457,144.587997,0.075613,0.745748
0.273434,8716.790039,18.7855,730.549011,0.516912,147.714005,0.072812,0.740898
0.260155,8510.379883,18.262899,708.870972,0.504004,139.880005,0.068566,0.698588
0.256375,8368.830078,17.761999,707.049988,0.480891,139.268005,0.071954,0.714081
0.243664,8094.319824,17.038601,672.656982,0.444447,132.772995,0.067437,0.66731
0.245544,8250.969727,17.9967,694.367004,0.456841,136.057007,0.069387,0.680294
0.243271,8247.179688,17.7013,696.530029,0.453086,135.320007,0.069144,0.676713
0.256136,8513.25,18.156601,715.369019,0.453171,139.697998,0.077269,0.700244
0.24884,8418.990234,17.679501,699.221985,0.424356,134.509003,0.082378,0.681587
0.224408,8041.779785,16.469101,647.741028,0.376997,128.675995,0.074829,0.645567
0.202873,7557.819824,14.9545,583.585022,0.34869,119.314003,0.069848,0.599594
0.208989,7587.339844,15.7088,601.755005,0.360526,122.612999,0.073095,0.631997
0.200655,7480.140137,15.1883,586.734009,0.342848,119.442001,0.071279,0.611001
0.196567,7355.879883,15.2548,587.280029,0.36462,118.277,0.073162,0.612708
0.193557,7368.220215,15.2076,572.66803,0.345249,117.991997,0.070601,0.607881
0.174783,7135.990234,14.4021,516.036011,0.31585,111.598,0.060654,0.552299
0.20319,7472.589844,15.2235,565.388,0.351257,119.568001,0.065009,0.601241
0.211143,7406.52002,15.2017,559.590027,0.335834,117.532997,0.062402,0.605817
0.225214,7494.169922,15.3058,577.64502,0.344773,118.073997,0.060541,0.612622
0.222507,7541.450195,15.5174,580.04303,0.349503,119.915001,0.058707,0.623364
0.227742,7643.450195,15.8207,591.807983,0.36731,123.306999,0.061184,0.643451
0.228154,7720.25,16.249599,618.328979,0.362294,125.5,0.061978,0.671205
0.214012,7514.470215,15.2298,592.984985,0.340509,119.903,0.059179,0.661425
0.220467,7633.759766,15.5322,609.302979,0.336191,121.700996,0.060577,0.677015
0.215721,7653.97998,15.2479,607.124023,0.329864,121.182999,0.059408,0.674797
0.211119,7678.240234,15.2491,605.187012,0.30677,121.426003,0.058819,0.678128
0.205358,7624.919922,15.4083,601.077026,0.293531,120.084,0.057577,0.674343
0.202091,7531.97998,15.1574,597.562012,0.297624,117.740997,0.057157,0.659755
0.176868,6786.02002,12.6368,526.479004,0.241828,107.043999,0.048003,0.588126
0.18128,6906.919922,12.9178,533.283997,0.262975,107.515999,0.048829,0.604066
0.166585,6582.359863,14.8501,496.842987,0.228636,100.751999,0.043982,0.562933
0.160408,6349.899902,13.8805,477.493988,0.214526,94.0756,0.041533,0.534663
0.172375,6675.350098,14.0603,519.742004,0.239964,101.153999,0.045417,0.561306
0.162747,6456.580078,13.9015,491.003998,0.223557,96.676003,0.04287,0.537707
0.162962,6550.160156,14.5115,499.641998,0.222022,97.577003,0.043215,0.534784
0.16138,6499.27002,14.334,500.447998,0.214002,96.1026,0.042648,0.528216
0.164117,6734.819824,15.0902,518.890991,0.21008,98.819,0.045096,0.537495
0.167185,6769.939941,15.5644,537.95697,0.220765,98.8377,0.049503,0.549621
0.161985,6776.549805,17.273701,536.268005,0.225581,97.9935,0.049394,0.539286
0.158556,6729.740234,17.580999,527.367004,0.212881,96.925499,0.04862,0.534775
0.139839,6083.689941,14.6233,465.816986,0.186089,85.075897,0.043136,0.486947
0.137868,6162.47998,14.8108,474.519989,0.19366,82.603699,0.044179,0.491284
0.132703,6173.22998,14.8836,457.671997,0.186944,80.7771,0.04246,0.47738
0.135269,6249.180176,15.839,460.309998,0.179697,81.833397,0.042349,0.481753
0.126099,6093.669922,14.8787,432.772003,0.170771,76.866699,0.038262,0.456001
0.127444,6157.129883,15.3839,442.36499,0.171995,80.659698,0.038987,0.47037
0.11932,5903.439941,14.5413,422.36499,0.166278,74.929802,0.036665,0.448458
0.12572,6218.299805,15.268,436.009003,0.181072,78.768898,0.037237,0.45308
0.137671,6404,16.098301,455.179993,0.226619,81.374001,0.038423,0.466245
0.142208,6385.819824,15.9679,453.917999,0.2212,80.242897,0.037885,0.461358
0.158278,6614.180176,16.639999,475.346985,0.249,85.257103,0.039529,0.486122
0.150655,6529.589844,16.1842,464.195007,0.236518,85.101303,0.038867,0.485223
0.15096,6597.549805,16.7686,467.317993,0.232286,85.494003,0.038895,0.490043
0.148921,6639.140137,17.3405,474.411987,0.218494,83.760002,0.037861,0.481625
