ADA-Open,ADA-High,ADA-Low,ADA-Close,ADA-Volume,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Volume,ETC-Open,ETC-High,ETC-Low,ETC-Close,ETC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Volume,LINK-Open,LINK-High,LINK-Low,LINK-Close,LINK-Volume,LTC-Open,LTC-High,LTC-Low,LTC-Close,LTC-Volume,TRX-Open,TRX-High,TRX-Low,TRX-Close,TRX-Volume,XRP-Open,XRP-High,XRP-Low,XRP-Close,XRP-Volume
0.212875,0.447192,0.204233,0.404665,581052032,17760.30078,19716.69922,17515.30078,19497.40039,12740599808,32.027302,39.019501,31.299101,34.7784,1104770048,686.192017,718.38501,680.786011,696.208984,2165690112,0.318199,0.35286,0.293005,0.341393,13859700,299.337006,309.901001,290.134003,298.971985,1291379968,0.018405,0.037327,0.018405,0.036271,336496000,0.755493,0.815923,0.741667,0.758642,1334770048
0.386775,0.592417,0.378013,0.513011,628142976,19475.80078,20089,18974.09961,19140.80078,13314599936,34.7841,36.4062,34.200699,34.786598,428825984,696.237,735.825012,696.237,719.974976,2147389952,0.341848,0.444421,0.339906,0.417596,20035600,301.783997,332.589996,301.783997,318.718994,1703580032,0.03767,0.041387,0.034599,0.03619,338444992,0.754125,0.765981,0.719929,0.728366,805200000
0.511939,0.526496,0.467403,0.518198,253463008,19106.40039,19371,18355.90039,19114.19922,14839499776,34.852901,42.403,32.530499,39.397598,1072099968,721.731995,803.927979,689.231018,794.64502,3249230080,0.418269,0.434907,0.362783,0.434907,18220400,318.953003,360.933014,302.003998,358.335999,1966599936,0.036372,0.046912,0.032634,0.044589,369401984,0.728036,0.792014,0.689323,0.778407,1342720000
0.520268,0.589589,0.501083,0.531273,279631008,19118.30078,19177.80078,17275.40039,17776.69922,16894499840,39.405602,46.2407,38.613098,40.270199,931713024,793.901001,881.94397,785.34198,826.822998,4096549888,0.431075,0.508603,0.415128,0.439356,13254800,359.125,375.286011,335.674988,350.252991,2150479872,0.044442,0.053959,0.040145,0.046848,235095008,0.777447,0.863536,0.756724,0.791257,1449670016
0.533705,0.533705,0.441621,0.486151,182924000,17760.30078,17934.69922,16077.7002,16624.59961,22149699584,40.372101,44.855801,37.321201,44.047501,920793024,827.515991,845.062012,756.004028,819.085999,3969939968,0.438729,0.438729,0.352756,0.372796,10481200,349.604004,349.604004,308.627014,314.621002,2104060032,0.046852,0.048883,0.036669,0.048883,317193984,0.787171,0.789044,0.730953,0.775964,1007420032
0.490049,0.523619,0.456527,0.477851,162926000,16642.40039,17567.69922,15342.7002,15802.90039,16516599808,43.8601,47.774799,39.689098,42.1007,825238976,820.236023,880.54303,792.689026,821.062988,3569060096,0.378562,0.466434,0.368811,0.424287,12030600,314.660004,339.739014,299.528992,317.462006,1555939968,0.049966,0.070908,0.039734,0.045969,460308000,0.782515,1.23622,0.782515,1.19306,3626109952
0.478974,0.478974,0.293641,0.40715,150972992,15898,15943.40039,11833,13831.79981,22197999616,42.421101,42.683102,23.756901,30.958799,817384000,822.643005,827.682983,543.762024,674.859985,4977710080,0.427648,0.456331,0.283609,0.426878,14979800,319.256989,320.302002,187.477005,264.932007,2938040064,0.045662,0.04637,0.022616,0.039074,494380000,1.16651,1.37918,0.741013,1.13828,4644700160
0.41442,0.450368,0.392567,0.414027,88865000,13948.7002,15603.2002,13828.79981,14699.2002,13086000128,31.543699,35.1409,31.1257,32.724998,385223008,681.315979,763.89502,679.731018,719.387024,2480339968,0.439272,0.723386,0.439272,0.57768,24055000,269.266998,312.667999,261.636993,288.265991,1352579968,0.0403,0.057063,0.035975,0.051791,503996992,1.16594,1.2081,1.07611,1.17434,1497590016
0.416661,0.416661,0.347039,0.390029,67372304,14608.2002,14626,12747.7002,13925.79981,11572299776,33.004002,33.004002,28.223101,30.7833,316552992,721.768982,721.768982,614.921997,694.14801,2300549888,0.584562,0.604374,0.44383,0.544162,15183200,291.007996,291.007996,251.037994,275.980011,1122909952,0.051473,0.051742,0.033265,0.036209,230931008,1.17558,1.17558,0.911226,1.04395,754958976
0.39233,0.4397,0.362807,0.416363,122194000,13995.90039,14593,13448.90039,14026.59961,10664699904,30.9065,32.4356,30.691099,32.3526,258235008,698.869995,782.520996,698.869995,765.833984,2491760128,0.549337,0.584542,0.48899,0.501933,7740550,277.493988,286.790009,269.572998,273.390015,804377024,0.036706,0.041792,0.033296,0.035177,189610000,1.04561,1.12852,1.00356,1.12232,686014016
