0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0011.HK,0012.HK,0016.HK,0017.HK,0027.HK,0066.HK,0101.HK,0175.HK,0267.HK,0291.HK,0316.HK,0386.HK,0388.HK,0669.HK,0688.HK,0700.HK,0762.HK,0823.HK,0857.HK,0868.HK,0881.HK,0883.HK,0939.HK,0941.HK,0960.HK,0981.HK,0992.HK,1038.HK,1044.HK,1093.HK,1109.HK,1177.HK,1211.HK,1299.HK,1378.HK,1398.HK,1928.HK,2007.HK,2020.HK,2313.HK,2318.HK,2319.HK,2331.HK,2382.HK,2388.HK,2628.HK,2688.HK,3968.HK,3988.HK
25.7355,33.933,78.9279,67.0489,27.6333,107.0197,15.1334,30.6166,3.2548,6.5179,5.116,9.7246,0.9805,0.7933,13.5634,22.1509,1.4363,23.6245,6.751,4.4621,33.1419,1.8971,6.0261,2.2653,1.1752,1.312,15.1825,0.8358,14.3775,1.5257,0.0367,4.4385,10.6594,18.6949,0.4342,2.7542,8.1888,8.3326,3.6071,0.4661,0.6731,3.9655,0.4013,0.8484,2.3696,7.8927,3.1399,0.5994,0.6045,4.8641,3.0952,4.429,2.4353,0.4795
26.2559,34.0425,79.7068,67.6339,27.7018,107.8896,15.6111,31.1182,3.3659,6.5187,5.1703,9.9789,1.004,0.8179,13.8169,22.4084,1.459,23.6711,6.7957,4.5344,33.5752,1.9304,6.0526,2.2967,1.2061,1.3332,15.391,0.8476,14.5107,1.5715,0.0374,4.368,10.7174,18.7095,0.4342,2.816,8.2432,8.5835,3.6928,0.476,0.6796,3.8987,0.4029,0.8794,2.3248,7.9629,3.2084,0.5965,0.6537,4.9157,3.1167,4.4927,2.4668,0.4812
26.1599,34.04,79.7009,67.869,27.1584,107.5962,15.4761,31.35,3.3656,6.7153,5.1431,9.9601,0.9961,0.7984,14.1235,22.3049,1.4548,23.9091,6.9374,4.6297,33.3582,1.9693,6.0607,2.2942,1.1719,1.3305,15.4312,0.8459,14.317,1.6357,0.0387,4.4032,10.5127,18.6959,0.4323,2.9421,8.2159,8.6046,3.686,0.4759,0.6827,3.7839,0.4131,0.8956,2.3246,7.983,3.1945,0.5905,0.6349,4.895,3.1024,4.5204,2.4666,0.4795
26.7965,34.3056,80.9029,69.8435,27.182,108.6508,16.1017,32.7283,3.5417,7.0256,5.215,10.1416,1.0665,0.8255,14.628,22.9941,1.4937,25.72,7.507,4.7114,34.2725,2.0266,6.0782,2.3758,1.23,1.4019,16.176,0.8644,14.572,1.7217,0.0393,4.5173,10.4115,18.734,0.4284,3.0037,8.2965,8.9856,3.8175,0.4886,0.7067,3.8381,0.4293,0.9038,2.3456,8.2811,3.1607,0.6099,0.6581,4.8953,3.2366,4.4857,2.5603,0.4981
26.8284,34.3426,81.0989,70.586,27.4071,109.3507,15.8836,33.0313,3.5167,6.9714,5.1988,10.0724,1.0473,0.8308,14.6605,23.5871,1.4696,26.3603,7.378,4.6267,34.2295,1.9942,6.1829,2.3958,1.2646,1.3152,16.7804,0.8646,14.4451,1.7276,0.0387,4.4974,10.3014,18.471,0.4344,2.9022,7.8721,8.8688,3.7858,0.4719,0.7053,3.9336,0.428,0.9203,2.3325,8.166,3.1413,0.6249,0.6351,4.9275,3.2235,4.438,2.5299,0.4949
26.8503,34.2353,80.7523,70.0533,27.5572,110.6766,15.9868,33.1172,3.5816,7.1682,5.1895,10.0176,1.0629,0.8232,14.5477,23.28,1.4573,25.6175,7.1914,4.6791,34.2006,1.9309,6.2339,2.386,1.244,1.2874,16.5521,0.8646,14.5757,1.7301,0.0381,4.5185,10.3235,18.5799,0.4344,2.9021,7.8984,8.5096,3.7922,0.4481,0.7085,3.9939,0.4235,0.8731,2.235,8.0825,3.1343,0.6175,0.6336,4.9272,3.181,4.3326,2.5103,0.4932
27.0141,34.5764,82.63,70.9642,27.8597,111.4348,16.254,33.0284,3.6792,7.1257,5.2699,10.0354,1.055,0.835,14.6592,23.8906,1.4675,26.5324,7.1584,4.7124,34.2801,1.9759,6.1995,2.4507,1.2508,1.2781,16.7376,0.8863,14.8993,1.5799,0.0381,4.561,10.3572,18.5183,0.4422,2.8371,8.0315,8.6833,3.7658,0.4691,0.726,3.9063,0.4353,0.9024,2.2975,8.1238,3.2023,0.6219,0.6611,4.9678,3.2162,4.4797,2.5453,0.5016
26.5428,34.6539,82.3701,70.6248,28.1401,110.5735,15.6883,32.3828,3.6139,6.9987,5.2518,9.836,1.0276,0.8341,14.4348,22.9982,1.4551,25.8773,7.3223,4.6596,33.769,1.8736,6.165,2.4074,1.2303,1.2767,16.1583,0.8762,14.8199,1.5798,0.0374,4.4541,10.2208,18.5297,0.4343,2.796,7.8711,8.4873,3.7132,0.4565,0.7196,3.859,0.4368,0.8747,2.3009,7.9989,3.1613,0.607,0.6481,4.9268,3.1667,4.4304,2.5413,0.4982
26.5414,34.652,82.2803,71.1976,27.922,110.4725,16.0146,32.4397,3.6723,6.9983,5.2247,9.6366,1.0823,0.8247,14.518,23.1498,1.4673,26.0067,7.5298,4.6259,34.0623,1.9096,6.1133,2.4409,1.2336,1.307,16.2608,0.8862,14.9943,1.5878,0.0374,4.4468,10.3449,18.8741,0.4264,2.8095,7.844,8.5412,3.7327,0.4578,0.7307,3.8251,0.4382,0.8909,2.3112,8.0656,3.1611,0.604,0.6176,4.9572,3.1947,4.4302,2.5373,0.4999
26.6355,34.5206,82.1952,70.5733,27.9438,111.2342,16.0741,32.8497,3.7114,6.9983,5.2426,9.6367,1.1018,0.8273,14.2103,23.099,1.4632,25.9196,7.6721,4.5733,34.2233,1.9126,6.1047,2.4313,1.2199,1.278,16.1782,0.8845,15.0644,1.5905,0.0374,4.5749,10.5375,18.6521,0.4225,2.8164,7.7907,8.2913,3.7524,0.4634,0.7259,3.8049,0.4397,0.886,2.3807,8.0656,3.1611,0.5965,0.6162,4.947,3.1806,4.5073,2.5295,0.4948
