ADS.DF,AIR.DF,ALV.DF,BAS.DF,BAYN.DF,BEI.DF,BEI.DY,BMW.DF,BNR.DF,CON.DF,DB1.DF,DBK.DF,DPW.DF,DTE.DF,EOAN.DF,FME.DF,FRE.DF,HEI.DF,HEN3.DF,HNR1.DF,IFX.DF,MBG.DF,MRK.DF,MTX.DF,MUV2.DF,PAH3.DF,QIA.DF,RWE.DF,SAP.DF,SIE.DF,SRT3.DF,SY1.DF,VOW3.DF
88.10925165,35.4528792,125.55955,86.50240396,89.38411359,76.54283172,76.89539455,80.845671,44.29932277,99.02690354,54.64854902,39.51678835,20.90343698,11.93208918,24.3189713,77.61362663,41.33635331,54.18327094,81.97937675,71.79044207,7.057809778,51.45058136,65.93318081,85.83790822,167.237981,64.29356706,19.1227981,46.82532403,71.12856762,100.0929801,21.14105646,36.02956189,194.4338125
87.21577111,34.967595,124.4128656,86.05658821,88.54850473,75.53899638,75.73241134,80.73506312,43.37944681,99.6871154,54.43585612,38.02394341,21.0678551,11.79961936,24.0710144,77.28234473,41.11596904,53.73015289,81.49434752,71.019882,6.880606484,50.95308,65.93293789,85.09866142,165.89384,63.48715346,17.9737385,46.32680327,70.57032291,98.77819577,20.90972531,35.94773837,194.8525027
86.87131975,34.37733196,124.0795421,84.60999616,87.7225419,74.29132248,74.53896022,79.91921599,42.95602467,98.47640634,53.95896054,38.25481765,20.81981729,11.66113092,23.80059368,76.06388737,40.63305232,53.44283135,80.6777695,71.31054608,6.997721235,50.33562937,64.90520039,84.35453828,165.0701051,62.44641829,17.86875742,45.95765477,69.41416232,98.07406017,21.0413879,35.74715968,193.5484454
84.44205837,33.74312072,122.9231412,82.11422588,85.10291722,73.28100292,73.12685913,79.29261074,42.03122332,98.69905266,54.12406492,37.37438266,20.53639429,11.59866706,23.6218827,75.26135873,40.1348628,52.68190607,79.67927651,70.97799019,6.858092362,49.49975121,64.00363683,84.52043657,163.1886343,61.64445306,18.11672867,46.0589483,69.58677716,97.5970552,20.73273168,35.50793649,192.6536117
84.19933096,35.04465687,120.9300252,81.31658344,84.93176428,72.68521425,72.51648072,78.34168146,41.81956781,97.72267466,53.43271812,36.99184184,20.69322091,11.46609255,23.03731907,74.28948076,39.84149163,52.43848823,79.11525981,70.03090598,6.775300328,49.09756427,63.21147534,83.59708204,161.1405241,62.76238455,18.22322157,45.21539506,71.51705902,96.46989307,20.55408064,35.33929158,195.7438779
84.31055562,34.79098133,121.4667788,82.12825353,85.06592796,73.13047409,73.30562913,78.34620204,41.73192158,99.59704982,53.93867115,37.04373467,20.73446476,11.37210335,22.81556616,75.10907735,39.85789237,53.00061859,81.10197472,71.35037988,6.781743778,47.77061874,63.76097673,84.982632,162.4712231,63.57479341,18.18913763,45.09139531,71.22971751,96.36939648,20.50520627,35.26065634,198.8982822
84.7866372,35.12607745,121.595246,82.50874861,85.38794802,72.71123917,72.8794923,78.86671538,40.91696206,99.43760244,54.09985399,37.20581561,20.5812411,11.5111029,22.85524693,73.79970752,39.44500598,53.27153087,80.70714582,70.45794142,6.820723219,47.46032646,64.19568918,84.36729862,161.1735602,63.55438589,18.2062834,45.17078957,71.3936877,96.82230161,20.022123,35.48458605,199.3152515
85.45509066,35.22782393,120.0963225,82.22495826,84.83064147,72.62500478,72.51001207,78.27773647,41.87763289,99.28651759,53.36178721,36.8347502,20.41960497,11.37911041,22.74013208,73.86020741,39.24184486,52.68216735,80.6912914,68.65969425,6.860801213,46.46868467,64.26606816,83.99636287,157.1136398,63.23307182,18.27725195,44.90530059,71.63916837,96.344513,20.89508045,35.57280207,201.2372484
85.62364981,35.36657089,122.8822063,82.78244272,85.93669917,72.81238878,73.0319366,79.55508977,42.14672415,102.6063194,53.71172844,38.07798647,20.19581653,11.43973288,22.65733503,73.31476585,39.00370339,52.85032611,80.43198959,68.70555309,6.960957352,47.02197722,64.51348118,83.97445824,158.5264406,64.57288824,18.225956,45.21006197,72.3410067,96.75072076,20.94137509,35.93610376,206.6978153
85.35423444,35.51836243,124.0971795,82.94746199,85.64688345,72.6788254,72.72159519,79.7060307,42.01457437,100.197942,54.30466652,38.64353767,19.92553563,11.476559,22.75352567,70.49238215,38.13418841,53.07471118,80.02874817,69.94155916,6.830205073,46.87179629,63.97776625,84.23962792,160.7094115,65.83954795,18.05662563,45.73515685,72.83824006,97.64769633,20.8016682,35.88384969,207.6278658
86.32126087,35.65347567,124.3431654,83.80893727,85.98537694,73.52759649,73.37333101,82.05886666,42.69394494,100.6705436,53.64290525,39.53798426,20.07525449,11.58806017,22.82480988,68.27219925,37.39149024,54.0577368,79.53357957,69.59577117,7.07806338,47.32968754,63.98906346,84.05913255,160.780932,67.79903201,18.47270834,45.91666757,73.78297716,98.4863258,21.14642734,35.6197706,212.2122665
86.44033386,35.43686319,123.5989151,83.86357783,85.31106276,78.01542822,78.51862003,83.6721321,42.42424424,101.675792,53.35902926,38.94639973,20.19235023,11.20086871,22.651393,67.06421508,36.92794084,54.57238125,82.09917259,68.72254904,7.159811563,47.90541309,63.53993205,84.93593262,160.2944046,68.47289346,18.54022532,45.68438392,73.8488965,99.33937793,20.5965853,35.48472463,210.2669141
85.04753052,34.89540725,122.2988108,82.63006601,85.38551361,77.96194718,78.10566057,83.00731366,41.86332525,101.2845772,54.67011293,38.37147484,19.81191719,11.00562265,22.28968999,66.68301246,36.78716304,54.05804787,80.52055876,68.83229752,7.160006341,47.32276592,63.09146089,84.89996766,161.1591678,66.72920605,18.37388509,45.03874956,72.92171333,98.78961007,21.55636676,35.03270486,202.9951619
